"lieux_lat";"lieux_long";"lieux_alt";"lieux_prec";"lieux_time";"type";"comptage";"nocif";"id_data";"username";"identifier";"rec_uuid";"date_creation";"date_modif"
"49.5589523204506";"1.38427734374996";"0";"";"1970-01-01";"Type B";"45";"ne sait pas";"1";"c.broderick@epiconcept.fr";"1";"92e3b492-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:19:40"
"48.8666415174636";"2.63671874999974";"0";"";"1970-01-01";"Type A";"21";"Oui";"2";"c.broderick@epiconcept.fr";"2";"a3845360-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:20:00"
"48.605794387267";"1.93359374999988";"0";"";"1970-01-01";"Type B";"12";"Non";"3";"c.broderick@epiconcept.fr";"3";"af399d14-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:20:18"
"48.9099844859285";"2.48291015625016";"0";"";"1970-01-01";"Type B";"61";"ne sait pas";"4";"c.broderick@epiconcept.fr";"4";"ba45b436-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:20:44"
"48.974928504444";"2.20825195312546";"0";"";"1970-01-01";"Type C";"14";"Oui";"5";"c.broderick@epiconcept.fr";"5";"c9e22a8c-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:21:07"
"49.0685873637842";"3.05419921874994";"0";"";"1970-01-01";"Type B";"14";"Oui";"6";"c.broderick@epiconcept.fr";"6";"d78483ba-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:21:27"
"48.823260975033";"1.61499023437492";"0";"";"1970-01-01";"Type A";"55";"Non";"7";"c.broderick@epiconcept.fr";"7";"e36a15e6-7d4c-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:21:55"
"48.8738679546357";"2.30712890624999";"0";"";"1970-01-01";"Type D";"7";"ne sait pas";"9";"c.broderick@epiconcept.fr";"9";"6e9c6b3c-7d4d-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:25:42"
"48.9965577320921";"2.1560668945314";"0";"";"1970-01-01";"Type B";"19";"Oui";"10";"c.broderick@epiconcept.fr";"10";"7b09197e-7d4d-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:26:06"
"49.0325855839726";"2.83447265624995";"0";"";"1970-01-01";"Type D";"12";"Non";"11";"c.broderick@epiconcept.fr";"11";"896f1086-7d4d-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:26:34"
"49.1079204159604";"2.35107421874989";"0";"";"1970-01-01";"Type C";"6";"Oui";"12";"c.broderick@epiconcept.fr";"12";"9a7a02fa-7d4d-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:26:57"
"48.5621882424872";"2.43896484374953";"0";"";"1970-01-01";"Type B";"65";"Oui";"13";"c.broderick@epiconcept.fr";"13";"a7cd04ac-7d4d-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:27:25"
"48.7146451826295";"2.16979980468773";"0";"";"1970-01-01";"Type A";"22";"Non";"14";"c.broderick@epiconcept.fr";"14";"b8a1945a-7d4d-11e5-aa53-005056910002";"2015-10-28";"2015-10-28 09:27:53"
